,feat1,feat2,feat3,target
0,0.4736006191689389,0.42514188879374115,b,0.659118331351544
1,0.8122477417178442,0.6278292154663148,c,1.0657553258116976
2,0.5546260504493427,0.45315248647614215,b,0.7278682554166676
3,0.9586731824759629,0.1279657101702928,c,1.0713303670460474
4,0.5752132996404575,0.6350474423012863,b,0.839187545298895
5,0.12938907615725614,0.7364600071646372,c,0.404349649986667
6,0.09960474058456825,0.5715866202060315,c,0.302257655935426
7,0.933893534060614,0.11298040174548418,b,1.0666743855620833
8,0.041788465269887,0.4970131469126732,a,0.25649828193070257
9,0.5738783655929218,0.927467717626137,b,0.8650616353002616
10,0.7707309999013827,0.3028897766037718,a,0.9524921993448199
11,0.08329068998060163,0.15970688327532545,b,0.19281091425686941
12,0.38978966194172326,0.5855018859967756,c,0.5751634084302564
13,0.901097722648825,0.03286098989280828,a,0.9880698153403772
14,0.7132859700925349,0.3203595513673484,b,0.829912380712985
15,0.8595800893880724,0.6447234872719562,b,1.10940875788976
16,0.881270092421126,0.46665123822291465,a,1.098829071794038
17,0.16494116486902444,0.5622712690365501,b,0.3402366699108779
18,0.18186724334989957,0.5226604592691233,c,0.42763223954306245
19,0.9779723794660412,0.33286867379901164,c,1.128598060339889
20,0.6051538574255624,0.22579357984926918,b,0.6999043185914768
21,0.014313791104056506,0.7419617222389728,c,0.31861957016248693
22,0.041402136937556455,0.7856268428856689,a,0.2883704620281638
23,0.858129945854521,0.4074003780003216,a,1.0678604448362026
24,0.32100328240660936,0.8687602329453474,c,0.599067187919894
25,0.4510752393977583,0.3957988041913084,b,0.6332946066547627
26,0.569696883910326,0.28889523467685363,a,0.7120081922982345
27,0.2866903836620919,0.3821762271967758,c,0.45956530802866635
28,0.7384301071539222,0.3425726862782206,a,0.8789548967341099
29,0.2092699852089881,0.5511845970271603,a,0.42489461374598564
30,0.43239659310518497,0.6544114606952539,b,0.6963463953880412
31,0.008195427180654136,0.21755089251362147,b,0.157001458770553
32,0.7730607390673941,0.29246759233655595,c,0.9438748042741523
33,0.9894031305444108,0.263497964060749,a,1.0856728664216058
34,0.774184072610783,0.6730986301769929,a,1.0622041576979586
35,0.8732948278401927,0.9295701793715533,b,1.163683761272358
36,0.3543972708135087,0.40397666934889165,b,0.5419674852933444
37,0.3577543214853248,0.3857477349976143,a,0.5462716834512282
38,0.172729441214014,0.08234859409026685,c,0.27583853938988234
39,0.3772656918759123,0.9174026891901895,c,0.7255498100704929
40,0.6958354172223244,0.059449898497488274,b,0.7553244135562511
41,0.7034205054604125,0.134354958322901,a,0.7616737700542627
42,0.46400745963958334,0.4462181631167055,b,0.6174812379466269
43,0.7351810646132609,0.04956681128973661,b,0.8160280350899318
44,0.904845111660249,0.12401251980286965,a,0.9858554729928689
45,0.2083797102507764,0.13581082778849696,a,0.3026590730954322
46,0.1060655264275131,0.967104211826236,a,0.4601259606214842
47,0.04455220057593212,0.49672655407893174,b,0.21370577324469317
48,0.35970126573978123,0.9409353780225922,c,0.69272348795943
49,0.7492017707263973,0.8812063325531238,a,1.033223030123138
50,0.10548421359113025,0.6901573511381449,b,0.39716242475890995
51,0.8053177392074813,0.741965205736684,b,1.0810148625362341
52,0.5022481158211066,0.6897935744569683,a,0.8004833587601634
53,0.19587985785698114,0.4785087307076934,a,0.3916935671378719
54,0.732948741313865,0.4944595546603764,a,0.9129172562224329
55,0.9880215185721785,0.668503912578639,a,1.2706924175317695
56,0.9428453050169736,0.2891297449220138,b,1.1032518036299448
57,0.552959080609398,0.7046094976773111,c,0.8228717240656869
58,0.23739459416449593,0.20750249202623994,a,0.32689173740494354
59,0.0612873186983236,0.7235201294295217,b,0.29573802322392106
60,0.7013960629437693,0.9863385446790307,a,0.998696246290244
61,0.14858613025428224,0.3735329554053607,c,0.26724106325218666
62,0.3139082760086066,0.9886963565278866,a,0.7012530020159742
63,0.8085525168454687,0.5300515589143086,b,0.9678613341540975
64,0.6515220032794372,0.004487038918369879,b,0.7300555713546051
65,0.42955964503126565,0.21582542631003399,a,0.5515552291432848
66,0.8539079744233744,0.8080290675641874,c,1.100548640392795
67,0.41021162628582686,0.281953178233586,b,0.5648053066921506
68,0.11753407966648355,0.1379191970285143,b,0.17981424827964673
69,0.2589651113367445,0.8404035607949905,a,0.5818049928899633
